timestamp,open,high,low,close,volume
2023-06-13,51.8000,52.6600,50.5200,52.4000,11560753
2023-06-12,52.5300,52.9300,50.1000,50.5600,12493104
2023-06-09,55.0000,57.4199,52.4827,53.2800,14394338
2023-06-08,52.2100,55.0500,51.9647,54.9000,12773645
2023-06-07,53.2850,54.0000,51.7000,53.2600,18905532
2023-06-06,47.1000,52.3800,46.4300,51.6100,56259861
2023-06-05,63.3800,64.4431,55.8100,58.7050,26413166
2023-06-02,65.1100,65.2236,62.0011,64.5500,8630810
2023-06-01,61.8000,66.3599,60.6700,63.5700,11729020
2023-05-31,59.3000,62.5900,59.2120,62.2000,10074855
2023-05-30,60.1000,63.3800,59.2300,61.1700,14814243
2023-05-26,56.8600,58.9100,56.6300,56.9200,7804165
2023-05-25,58.5600,59.1400,55.8800,56.8700,7997440
2023-05-24,57.7800,58.9700,56.6000,58.3600,8198333
2023-05-23,61.0000,63.2500,58.6700,59.1000,12208242
2023-05-22,56.8900,61.1000,55.9000,61.0700,12683378
2023-05-19,60.5700,61.4700,56.5900,56.7800,12520676
2023-05-18,60.4700,61.7000,58.6000,60.2600,8330306
2023-05-17,57.4900,61.3050,57.3000,61.0400,8998361
2023-05-16,58.6800,60.1099,57.1433,57.8800,7867880
2023-05-15,58.4000,61.3000,57.2000,60.7700,9429328
2023-05-12,60.8900,61.1300,56.7700,57.3400,9110955
2023-05-11,62.4100,63.1100,59.7700,60.3500,8843509
2023-05-10,61.4500,63.7500,59.8900,62.6400,15481325
2023-05-09,57.9000,60.2400,56.5900,60.2100,9641197
2023-05-08,55.9000,58.8000,54.6100,58.1000,15259408
2023-05-05,54.0450,58.5800,53.7500,58.2400,25585625
2023-05-04,48.7200,50.4700,47.6501,49.2200,13044369
2023-05-03,50.1500,51.6000,48.3100,48.4900,13325571
2023-05-02,50.2000,52.1400,48.2600,51.3200,16778436
2023-05-01,53.1700,54.3800,48.4500,50.1400,18437873
2023-04-28,53.6500,54.5200,52.1700,53.7900,11629806
2023-04-27,54.6700,55.7227,53.5800,54.1700,12010873
2023-04-26,59.5100,59.5100,53.6000,53.8900,16623661
2023-04-25,55.7100,56.0900,53.6240,55.5500,14383348
2023-04-24,58.9600,59.0900,54.0800,54.7500,21135715
2023-04-21,61.0800,61.4500,58.7050,59.0400,13235111
2023-04-20,63.2300,65.3300,60.1700,60.5000,11452943
2023-04-19,64.3620,65.9385,63.4000,64.4400,10326964
2023-04-18,70.3850,71.7900,66.5500,67.2600,14835521
2023-04-17,67.1200,68.0500,64.9000,67.7200,13313091
2023-04-14,69.3000,71.7000,67.8700,69.9100,12887231
2023-04-13,69.8900,72.5300,68.0500,68.9500,19718505
2023-04-12,70.7700,72.0200,66.2300,67.8400,16773426
2023-04-11,68.0900,72.6075,67.2400,70.1900,25348828
2023-04-10,61.3700,66.1900,59.6600,66.1300,14391788
2023-04-06,59.5700,62.7400,58.2000,61.4400,11875179
2023-04-05,62.5400,63.0500,59.2200,60.7800,10788873
2023-04-04,64.6600,65.4000,60.9501,62.5400,11654422
2023-04-03,66.0100,68.3299,62.7000,63.6100,14040299
2023-03-31,64.7000,68.5687,63.9300,67.5700,15926632
2023-03-30,66.5300,67.1700,63.6825,64.1600,11563092
2023-03-29,65.4200,68.6300,63.7700,65.3000,17673750
2023-03-28,62.3200,64.0500,61.1100,63.0400,11635869
2023-03-27,67.2000,67.6000,60.5100,62.5400,23531291
2023-03-24,64.1800,68.7300,63.5300,67.8300,21641914
2023-03-23,61.8500,70.0000,61.5050,66.3000,43152803
2023-03-22,84.2500,85.3800,76.8600,77.1400,24463224
2023-03-21,76.2400,85.0500,75.7700,83.9900,22991862
2023-03-20,76.7600,77.0600,72.8700,75.1400,19026423
2023-03-17,70.5200,76.8000,69.1000,74.9800,31006175
2023-03-16,64.4000,68.6200,63.1200,67.7800,15522943
2023-03-15,61.9000,66.2900,61.1800,64.4700,20825703
2023-03-14,65.4500,66.2100,61.1000,62.6500,25167751
2023-03-13,54.7050,61.1000,50.7700,59.1700,31431946
2023-03-10,56.3900,56.4100,51.5700,53.4400,25743814
2023-03-09,62.3900,64.1200,57.2100,58.0900,20996595
2023-03-08,61.2000,65.4638,60.3509,63.0100,15427824
2023-03-07,62.8000,64.6600,60.5900,61.8900,15821515
2023-03-06,64.6000,69.8200,62.6400,62.7700,19826090
2023-03-03,61.6400,65.5600,61.3822,64.5100,17578962
2023-03-02,61.0700,63.9000,57.5000,63.7000,18122714
2023-03-01,65.3000,66.7900,63.0900,64.6700,15827077
2023-02-28,59.6750,67.5000,59.4201,64.8300,24843894
2023-02-27,59.9400,60.9696,58.1701,58.9600,13043035
2023-02-24,60.8800,61.5900,56.8000,58.4400,14546162
2023-02-23,63.9600,64.6473,59.8908,62.3600,16698489
2023-02-22,62.5000,67.4800,57.3500,61.1800,32937546
2023-02-21,63.3200,66.8700,61.8500,62.0700,19845681
2023-02-17,64.9400,67.9000,61.5100,65.2000,23252183
2023-02-16,65.9000,73.3000,63.9100,65.5900,31704828
2023-02-15,60.2100,69.4600,59.4600,69.3400,25726719
2023-02-14,56.3300,61.0800,55.0319,59.0300,23945786
2023-02-13,55.5200,57.0899,53.6600,56.4000,14435886
2023-02-10,58.2550,61.7384,55.9700,57.0900,17359921
2023-02-09,68.4900,68.9300,59.0000,59.6300,23920247
2023-02-08,70.8300,73.9700,68.3000,69.4400,11626528
2023-02-07,73.4300,73.4801,67.3000,71.4200,19819664
2023-02-06,73.1800,75.9800,70.5200,74.5900,17998386
2023-02-03,73.7200,87.6300,73.0200,74.6300,37125516
2023-02-02,68.4600,85.5400,68.3100,81.4600,43911166
2023-02-01,59.0800,66.2150,56.6500,65.7000,18840780
2023-01-31,57.7000,60.4400,55.9100,58.4800,14751638
2023-01-30,60.0100,61.8600,55.6715,56.1600,14553912
2023-01-27,52.9400,62.2900,52.4100,61.3700,24430999
2023-01-26,56.0600,56.1000,51.9655,53.0200,12614909
2023-01-25,51.5000,53.4080,49.6000,52.7600,13343567
2023-01-24,54.2020,56.4700,53.3412,53.5550,12413942
